,mu,sigma,gamma
0,0.13852819235246547,0.09426953659087181,0.0007128624573567831
1,-0.07040399500177263,0.10549379068235251,0.0003327422468951417
2,-0.006687221779965533,0.09594287446268086,0.00024883347870946156
3,0.1462225873540293,0.10313738502869955,0.0007156181494255706
4,-0.06233100709532496,0.10087310315906309,0.00031014070081300776
5,0.08857765032265215,0.10735474381010525,0.00037874157545454815
6,-0.12163635059033914,0.09292521907528392,0.000559757177548257
7,-0.05415000449424503,0.09175196940458986,0.0002803463515501076
8,-0.1629604272172276,0.09499429081536578,0.0010741413818384923
9,0.20314342734387322,0.11520906710853211,0.001392246872625792
10,0.054631759957318844,0.09821539760541022,0.00029259405544688257
11,0.15111459088469767,0.09997627580790146,0.0008015934287646765
12,-0.10161095114166423,0.09138690214890102,0.00043259260866567345
13,0.013336258231329001,0.10669160985624358,0.00027516453385392146
14,-0.08253420311256851,0.10023569236229052,0.00035579824144360404
15,0.05862482719595233,0.09116726106240815,0.0002875386671334197
16,0.030301689125010682,0.09845657487552958,0.00026535238909304045
17,0.1609462207565018,0.10273163954157709,0.0008964962872403825
18,-0.055634739457461856,0.08557354431559848,0.0002727836652841479
19,0.0472568926987341,0.09467825845960386,0.0002751895351887867
20,0.15268155976087688,0.09254946598423476,0.000936281325136892
21,0.0020300950767626444,0.09352116311124542,0.00024266117104967236
22,-0.045961084257246994,0.09249013659678368,0.00026917760345162217
23,-0.04048816430440136,0.09911176170554796,0.0002759672770095259
24,0.0846997422407481,0.09871510428541588,0.00036113889713412854
25,0.018300736039423126,0.09324238104502473,0.00024622552673660624
26,-0.00849661944767386,0.097466383581097,0.0002527149861405818
27,-0.12274604385430098,0.10933441502299418,0.0005138785858778897
28,0.023575003203290014,0.0909273507260158,0.00024386321504700327
29,-0.12437705970551567,0.09725349519601591,0.0005603344551356667
30,0.019209355345125367,0.08893680943383955,0.00023678108099676646
31,0.14457488940709065,0.09405844612876241,0.0007898226567883751
32,0.05927213880269472,0.09526505892370599,0.00029538201881555676
33,-0.08082427249685384,0.09309348055316118,0.00034565651980466964
34,-0.006021513085945792,0.09665367308458574,0.0002503886419379237
35,-0.1835973017167793,0.11272458419711283,0.0010791824354261128
36,0.029679496217191636,0.11492532086535032,0.0003009854895133476
37,-0.007447638293031551,0.09160490542006197,0.00023881620904668552
38,-0.23790271078615946,0.11318480423419856,0.0026751845628343804
39,-0.09467705619767992,0.09441959225652716,0.000396643094734286
40,0.03863198895104398,0.09612414615631587,0.00026780350203850793
41,0.024803943313552776,0.09625431757196903,0.00025664643327118143
42,-0.23392088015520623,0.10428188145919401,0.0033866516711603327
43,0.10864127178922985,0.09519776429897886,0.00046397765777991487
44,-0.01725668408987214,0.09671721373964069,0.00025373238611154053
45,0.15162173534859463,0.10574975609892748,0.0007492230318854281
46,-0.03414122128644112,0.09842168517663756,0.00026840643384456623
47,-0.08750262937210095,0.09740343650018701,0.0003695259528579028
48,-0.049397480559072865,0.09394224406970361,0.0002768000049967462
49,-0.1185940320155435,0.09409789593751137,0.0005310675553738996
50,0.12767219591566745,0.09323685634382504,0.0006099214009915214
51,-0.0346841867809104,0.09936160132402841,0.0002709020359087548
52,0.06904023248307312,0.10477565389769784,0.000328954632897765
53,-0.05287398564759609,0.09595716907958197,0.00028576407905570814
54,-0.00309017400386041,0.09325965194676507,0.00024211537791444905
55,0.04358213213021325,0.09851865427927023,0.0002781781026022969
56,0.0385717393944652,0.09765110554540447,0.0002709401465899786
57,0.08540975503914322,0.10489007715843618,0.0003677952216911819
58,-0.13227698491090722,0.09865586472477816,0.0006166879648281006
59,-0.11559544034633663,0.11196768035957184,0.0004758327185308548
60,-0.026529698449280777,0.09592626300407674,0.00025703922832983494
61,0.0324189016810141,0.0979851477178733,0.00026600158892302485
62,0.012916389089767975,0.0905857526927611,0.00023788497251130223
63,-0.08770234603621145,0.0993636973116419,0.0003710017190319928
64,0.08745818593845982,0.10942377171322422,0.00037741118868256894
65,0.009672799136699994,0.08806328442082767,0.00023099669008915397
66,0.11216666398834622,0.10389500748691886,0.0004681363410476892
67,-0.023549578733851734,0.08611627689579691,0.00023294353322958714
68,0.11353267571687312,0.09436434235113958,0.0004955307880151315
69,-0.03639772273791715,0.09313737514654757,0.0002592299328378639
70,0.05862590852359604,0.09772667707487762,0.0002983318606435849
71,-0.0579504946061726,0.09263762030309176,0.0002886314657144516
72,-0.06370041977350735,0.0955964125992586,0.00030447565402349423
73,-0.01231036634908693,0.10022445091254209,0.0002600396253609392
74,-0.08859368637642352,0.1007310758180932,0.00037453397658148297
75,-0.10903982955494433,0.10376612526486707,0.00045340717485124206
76,0.0310294156818607,0.09344725151783291,0.000254957357783491
77,-0.09910604343018613,0.10257838956693367,0.0004120342584526389
78,0.022240838722613364,0.09971489407943872,0.00026294951235377004
79,0.06981634330810704,0.09466495124311515,0.00031669737318627394
80,-0.07194751516532064,0.10673368152919176,0.0003376778837580903
81,-0.1599223531832405,0.10029520194734222,0.0009180677357243777
82,0.0033551337152146112,0.08476084016856905,0.00022204540592658806
83,-0.0798487942793806,0.10332079607025937,0.00035144234600217763
84,0.025111262099024353,0.11118287590823676,0.000290134519830929
85,-0.06535692770061373,0.08662595497337879,0.00029602870126899236
86,-0.09838864835263988,0.09744149859715359,0.00041085794538714215
87,-0.1555766377302628,0.1017923075216905,0.0008364600335730065
88,-0.08655530719185786,0.1032671203818663,0.0003697962806828749
89,-0.0003825950147661908,0.09575380969222892,0.00024784661460906825
90,0.03013060623831715,0.0894424112127639,0.00024542177848232093
91,-0.19196797986224765,0.10835546606861451,0.001337838423454295
92,0.027625482701036326,0.09725537125774525,0.00026075060936777436
93,-0.0982117388923218,0.09882818373794826,0.00040947864557019253
94,0.04297435478696479,0.08937884028751594,0.00025907208350170463
95,-0.06135719175868456,0.0977576077852442,0.0003032922058357724
96,0.04433640928387282,0.0887508396225519,0.00025965867021950166
97,-0.02146592004361476,0.10241866892541632,0.00026865097388479307
