,mu,sigma,gamma
0,10.062342705197608,0.09480811305903541,1.0
1,10.063172072068369,0.11083441103071967,1.0
2,9.985996721055379,0.10266624546006171,1.0
3,10.138458373907591,0.10397079596678535,1.0
4,9.936948729147943,0.10614446934569592,1.0
5,9.80486653129215,0.11179024059983533,1.0
6,9.790669178172747,0.09406992178729254,1.0
7,10.00016518285573,0.09644372905337499,1.0
8,9.840815659884335,0.09480036376083056,1.0
9,10.135013136566359,0.11480004780161251,1.0
10,9.916243548807087,0.1036025546972776,1.0
11,9.906751918266052,0.10040491024342212,1.0
12,10.14195080618739,0.09338782706272673,1.0
13,9.838980633774058,0.11454861811144297,1.0
14,9.971420923659304,0.10424090344639765,1.0
15,10.000121093578532,0.09555736604450801,1.0
16,9.903026090464401,0.1049479799451272,1.0
17,10.151312028886473,0.10297605316775163,1.0
18,10.02251636021406,0.08952581523990778,1.0
19,10.090575946687471,0.10004025924068322,1.0
20,-0.06608179192227721,0.09176132928628289,0.05333674852357754
21,0.023393083929520105,0.0990409154530858,0.039770587498438384
22,0.03518301548722989,0.09677180775415835,0.042181594543632184
23,0.06348753525719636,0.1041625291975572,0.044080073149399046
24,0.04809621594310509,0.10138807462109743,0.04217369354778572
25,-0.009767750360564155,0.09854509974200708,0.03909040502659995
26,0.027098275098775892,0.10324601853670946,0.03845368211382393
27,0.09707772144056487,0.11055609832072764,0.05037424623794109
28,-0.038421316594154244,0.09592422517446875,0.043117470709507374
29,-0.10901235184736136,0.0977004726045518,0.07069912697741787
30,0.04855701863909253,0.09388960683741221,0.04631792143125773
31,-0.01615132172155737,0.09355272169910202,0.04148649565884009
32,0.04858617709511134,0.09910499623030104,0.0434204389377606
33,0.047479350649906556,0.09556308671810484,0.045097616376015615
34,-0.0728544001345053,0.1023973688976829,0.04777815258396929
35,-0.017937582941475072,0.1113887361784778,0.03500968862166005
36,-0.06945071050410927,0.12158981900912899,0.03718102970102252
37,0.06582140475537568,0.0969513607343574,0.04925688815294871
38,0.04575665347288779,0.11077131097393775,0.0377384314653619
39,0.010088565243245277,0.09620681654199797,0.040025166615867816
40,-0.03341131033582189,0.10101262408187396,0.040042033767058775
41,-0.03452874275068944,0.10163001321577425,0.039923676865933413
42,0.029808673396883444,0.10216979014039501,0.039147234468670654
43,-0.12620831203296187,0.0963023769534439,0.08904160018482404
44,-0.10870938677729079,0.1023203525125821,0.06414512591428388
45,-0.16498015054742435,0.105408189910097,0.11404846030383814
46,0.01877771984408474,0.1036630751474411,0.03764605933143711
47,0.038964682956661285,0.09981447884418194,0.041346700752586056
48,0.018811711959643627,0.09817655319773362,0.03974126459357883
49,-0.08426746756210864,0.09464154478582089,0.05895685564100436
50,0.09999112021332791,0.09333985972671874,0.07050393719332519
51,-0.11921729809243253,0.10467185493336623,0.06793364318585043
52,0.02037836842260271,0.10882992510942821,0.03596149333652358
53,0.08224860254864853,0.10018743211120928,0.05282212323684847
54,-0.09153899868798666,0.09876362133465787,0.058430043012099184
55,-0.030137246861171176,0.1033863024900048,0.03870153090314457
56,0.06988170813733073,0.10266632388836316,0.04669492010352098
57,-0.07407170654675307,0.10799497429177009,0.04464394116238744
58,-0.05578989078442593,0.09880746534014884,0.0452086968947314
59,0.044409081677058364,0.11375925653460732,0.0364617237566874
60,0.07507716637020545,0.10123131236919873,0.04931894025754119
61,0.04164300863120173,0.10325560384269669,0.04022111689128467
62,0.025913330489501115,0.09578425504096179,0.041411470913645394
63,0.08656630714142435,0.10191569491217285,0.05315503122099022
64,-0.036260561925249735,0.11274500792687749,0.035920688904299204
65,-0.02281928717362049,0.09311299656913498,0.042282532819946456
66,0.04912212045494532,0.10535381809635126,0.04050161634773876
67,0.10775227079551607,0.09074792481098243,0.08168311613851388
68,0.03978490741733969,0.09516022769199671,0.04374806398753074
69,0.05394698240301391,0.09788088965029003,0.045290960726906665
70,0.07958671673564809,0.10180143656598757,0.050501975633767314
71,-0.010596009720694513,0.09633563082413388,0.039994930026069415
72,-0.06323021967435873,0.09922542759142539,0.0469400802218939
73,0.0021868642596780045,0.10616680342378337,0.036221264581307054
74,-0.01474633188282756,0.10332568066518709,0.037538979128601824
75,0.05539890131239,0.10539308061114888,0.04164648210959126
76,-0.07936050252412322,0.09841525709965232,0.0531236331197563
77,0.004262950319965706,0.10469147424176485,0.03673489793668505
78,0.015455987231773539,0.1054240286675326,0.0368391121899331
79,-0.04496229447751475,0.097878887379157,0.04332881913022086
80,-0.1328689170073711,0.11079697555334984,0.06878978754500051
81,-0.037860782749679835,0.09946130575986502,0.04133884402627723
82,-0.048966191424202526,0.08961116695191765,0.04914462126788511
83,0.05262581925220146,0.10663324577505805,0.040540631586319154
84,0.0660770895574741,0.11769680242370248,0.03816100992385478
85,-0.005705005063318237,0.08945237221857688,0.0427760924230541
86,0.05441472328832142,0.09923640526064242,0.04463377981559406
87,-0.011812501466720315,0.10114062379424499,0.0381953324409364
88,-0.07732152975543943,0.10618024511911267,0.046686370470282734
89,-0.03183681769759834,0.1014461347911356,0.0396692874743998
90,-0.0568028734493373,0.09412443317332488,0.0483861930795711
91,0.01753094953030205,0.10675025672003763,0.03649409921203399
92,-0.11750822952379975,0.10263913537712568,0.06962274232472936
93,-0.06263661629927826,0.1007311858349756,0.045844290310759345
94,0.04395857147566788,0.09354865687564198,0.04545604535510464
95,-0.047725968932763305,0.10168449996458369,0.04196050983172094
96,0.022968262764142367,0.09280843749458437,0.0424395317071692
97,0.05678115887834635,0.10835755801660109,0.04051971930846807
