,mu,sigma,gamma
0,10.05012353023907,0.09481646813508546,1.0
1,9.914546169818989,0.11084774051933999,1.0
2,9.969123912954398,0.10267705955778314,1.0
3,10.099479117451937,0.10398164003050572,1.0
4,9.850530222095326,0.10615649999945918,1.0
5,9.72657963889758,0.11180459619518118,1.0
6,9.783419297946551,0.09407848242551449,1.0
7,9.943764515654484,0.09645261692403434,1.0
8,9.78061201992446,0.09480910538316809,1.0
9,10.066832384300609,0.11481465309585534,1.0
10,9.835349501186512,0.10361378949617034,1.0
11,9.927150988806844,0.10041515601632833,1.0
12,10.173132184535914,0.09339565997135359,1.0
13,9.75215275437041,0.1145640215950093,1.0
14,9.94761119027994,0.10425215306567806,1.0
15,10.047233672542959,0.09556603524801388,1.0
16,9.949742356450184,0.10495964422190655,1.0
17,10.104702783062043,0.10298655347918302,1.0
18,10.008096449096042,0.08953288345860264,1.0
19,10.04373914050423,0.1000499862499387,1.0
20,-0.08915716409226611,0.08748134675324551,0.0008814193225384353
21,0.01847039830474737,0.0959669925015488,0.0005900461611221279
22,0.057662733596360996,0.09285193840055843,0.0006832856222904724
23,0.04097836919081046,0.10032985075740825,0.0006592842619417327
24,0.03061212753925699,0.09796486939386882,0.0006214796476307683
25,0.006279812341217808,0.09561853186738625,0.000577779133924274
26,0.008052713001969986,0.10007109268561551,0.0006043031926876882
27,0.12144717176034359,0.10447289265762943,0.0012043063331582521
28,0.018171762012415348,0.09300908473004263,0.0005728653319577249
29,-0.12983664448717036,0.09304674593324957,0.0014227623250662692
30,0.06264396367359197,0.08999232637572165,0.0006959398471162929
31,0.000490305573241297,0.09088847446837675,0.0005489840621378076
32,0.05464250806395927,0.09514421540328848,0.0006804330043651772
33,0.05307579835298288,0.09184043374724461,0.0006589187021535334
34,-0.06562767476135534,0.0979175217940456,0.000742169498121406
35,0.010214855622282523,0.1077756085492377,0.0006496968523181416
36,-0.028635907174499698,0.11713542796673482,0.0007230485676251326
37,0.06426639653049768,0.09283136303843247,0.000715321377934077
38,0.07630476418726202,0.10545438404219673,0.0008265390350744219
39,0.05358691630867249,0.09243648140781793,0.0006637506653546518
40,-0.07729441747433602,0.09629957842588162,0.0008025611134073264
41,-0.04431249565974095,0.09783930316256409,0.0006563051024258586
42,0.005199829892631039,0.09906511114842073,0.0005972727782985088
43,-0.11700187731548566,0.09160978451973613,0.001211526466170127
