,mu,sigma,gamma
0,-0.08224918874337211,0.0896385721565626,0.0008227097044350568
1,0.08164254682257048,0.10413550078646441,0.0008531393125272012
2,-0.10485907815984394,0.09642118705398024,0.001033680151953209
3,-0.06679199445856283,0.09834829496896619,0.0007497177645536508
4,0.05018601813210898,0.10084848795304281,0.0006906021364073998
5,0.047808664818049955,0.10608111228378952,0.0007087934526143146
6,0.03363908743784212,0.0901816144615869,0.00058630448690416
7,0.00040486108033763304,0.09281252926488436,0.0005601664490311831
8,-0.06742695594736851,0.08995049722764706,0.0007222717287427669
9,-0.18225718458091128,0.10831133734563873,0.002469451764720937
10,0.07486695310069208,0.09778345939095921,0.0007921297109348247
11,0.029826993300639686,0.09612369311116606,0.0006097831656233171
12,-0.14941054677146987,0.08905334767933858,0.002059130000336633
13,0.015974416134789143,0.10934234341623734,0.0006631455294268934
14,-0.022167881854916083,0.09980779848149131,0.0006167680760897738
15,0.07074764284685309,0.0905608015458027,0.0007441762678335949
16,0.08466391735680455,0.09875593990546071,0.0008584645033416365
17,-0.02079301826939601,0.0986670511401212,0.0006083924983284025
18,0.10509055279584126,0.08476516425431006,0.0010785461179694917
19,0.05209515900655858,0.09519142053929411,0.0006704853534293049
20,-0.05867942334219362,0.08808849802156044,0.0006681795184870675
21,0.03602973694657557,0.0956092563749546,0.0006212930386490263
22,-0.0423048584659591,0.09329046511192725,0.0006269591380900715
23,0.10883996303091599,0.09871339886124507,0.0010730673435018795
24,-0.028512777305007352,0.09801117528815376,0.000617519705935303
25,0.10353769966856896,0.09361718496545898,0.0010241956429599796
26,0.011026774582828157,0.10004771137604518,0.0006060151075683938
27,0.08374320984421682,0.10502601984611552,0.0008688525021809234
28,-0.05850869132253626,0.09202708978331274,0.000683652736230403
29,-0.054903117187955215,0.09380073124506096,0.000675426252039522
30,0.0557299642474429,0.09018216722410033,0.0006630108905310261
31,-0.038609028962968805,0.09033359855231898,0.0006006072133258076
32,-0.012622225824042847,0.09609930964835796,0.0005846156232060615
33,0.022860015352688452,0.09258987067603075,0.0005773065572431493
34,0.09036138372996838,0.09730158739404235,0.0008986371904985951
35,0.07963062184848213,0.10593262965938414,0.0008469166846295266
36,0.0004266807616957742,0.11746727032823565,0.0007019284168760184
37,0.013196832178046122,0.0940455089220468,0.000573336468855881
38,-0.03870869672445903,0.10665227075343679,0.0006865855817304822
39,0.08454475854022524,0.09166728031200931,0.0008440338019515424
40,-0.1366668931184366,0.09613236924138216,0.0015171564474044134
41,-0.013122750935735375,0.09849276607438617,0.0005987660125589373
42,-0.06393354522500484,0.09775842280726305,0.0007332246789154002
43,0.058006682154496704,0.09238671994105423,0.000682857259659474
44,-0.0871070997174297,0.09728562630500165,0.0008732487278683644
45,-0.17373212518407777,0.10108556417858558,0.002463918554810237
46,0.10889407382777684,0.098262162179122,0.0010745590929353817
47,0.15041833392258427,0.09543059295656624,0.0018721687643279098
48,-0.013685671631191611,0.09520774886692374,0.0005804557474670192
49,0.005049740396670508,0.09190822974950946,0.0005558051224237106
50,-0.021569006998827255,0.09049234831093438,0.0005634471141204797
51,0.044453435432741696,0.10070221878808638,0.0006712812926869471
52,-0.13928146637623623,0.10310439612165716,0.001477309720160356
53,-0.055242994923582214,0.09614520706699699,0.000687459707927428
54,-0.14307512406418313,0.0942920728995149,0.001699890693004036
55,-0.02021972566244044,0.10006481169058423,0.0006154996808514634
56,0.05130219938619491,0.09860949823506501,0.0006837279958498214
57,-0.06186920190235456,0.10330469989354787,0.0007473914239232766
58,-0.0671157985500224,0.09449988152291225,0.000736721213978053
59,0.11853982662130197,0.10737964294314811,0.0011630282548593714
60,-0.013230545054211005,0.09810885328879711,0.0005966621639922101
61,0.20927177174345016,0.10068024782668195,0.004809304271023939
62,0.018702052474471344,0.0928688850570007,0.000572757978672561
63,-0.05814276409289077,0.09768844370340918,0.0007065683502211848
64,-0.05305887528272475,0.10807999654591546,0.0007357719226752029
65,0.03237921157739485,0.09006732096754966,0.0005825841828197353
66,-0.06222344091584991,0.10080864705421187,0.0007380881312181249
67,0.012566166900708756,0.08814680015534229,0.0005388179632377267
68,0.22892140239308728,0.09415420714041639,0.010168210344580104
69,-0.013792880693671551,0.0949233816802187,0.0005789269732344843
70,-0.037776987728807325,0.09817695372031424,0.0006393904315000742
71,0.009133871614859708,0.09350077959643403,0.0005670522927977213
72,0.029488175772381102,0.09593588577874067,0.0006080574455153221
73,0.09750879257263094,0.10066745499823958,0.0009616930048310642
74,0.04327815597656979,0.09947610433290396,0.0006614926947053424
75,-0.023580464445840398,0.10190805162559816,0.0006306480241245345
76,0.04970019238744285,0.09463407203237179,0.0006587795463392746
77,-0.07217715629712206,0.09988441228642496,0.0007839208289263889
78,0.004588540729083477,0.10215610781569742,0.0006148955748950057
79,-0.07344429509288976,0.0934619050546276,0.0007698388157130316
80,-0.09790943175358972,0.10490497900712192,0.0009694761111833095
81,-0.08620093440584288,0.09465911045863983,0.0008617387064608527
82,0.037540089992046395,0.08661321909148831,0.000578167961877981
83,0.04713863389620886,0.102490228493031,0.0006886373444890263
84,0.010947387376574871,0.11373581079705548,0.000684093540682694
85,0.022205130365293365,0.08678936286107909,0.0005436315763269444
86,-0.04919568841113397,0.09542907861845173,0.0006607640513326524
87,-0.004895410223382704,0.09809002908068402,0.0005915426316149793
88,-0.03243595736099767,0.10246229064009481,0.0006497998209632823
89,0.058772996684416635,0.09723231410176181,0.0007072822083408673
90,10.080130820346218,0.09495932795621824,1.0
91,9.970357137364843,0.10797338633886842,1.0
92,9.706526317553067,0.10371133472714078,1.0
93,9.981304049302524,0.1017545307184965,1.0
94,9.951896569126442,0.0943693747405999,1.0
95,10.091924372360078,0.10273901907552882,1.0
96,9.857017300241514,0.09361091764280907,1.0
97,9.842080270797307,0.10963323327759111,1.0
98,9.609035251529335,0.10072778307497912,1.0
99,9.820710505519974,0.1008530670491118,1.0
100,9.724397358709211,0.09907442766152223,1.0
101,10.12157328347699,0.10057633958979319,1.0
102,10.001707974779507,0.10562275569713263,1.0
103,9.876423580796978,0.10117814103336957,1.0
104,10.064527196062981,0.10460461293509592,1.0
105,10.1135292878548,0.09264254452908702,1.0
106,10.308495795917189,0.11468161498235337,1.0
107,9.784411887153272,0.09882627045273666,1.0
108,9.999246163807374,0.08748614647225982,1.0
109,9.893899073201915,0.10049531785797004,1.0
110,-0.012636614539207258,0.09945364148333749,0.0006038547114402126
111,-0.08334922583401647,0.0877553678118135,0.0008292667970781355
112,0.09607866544825953,0.09826813325278991,0.0009476074579297803
113,-0.012450519236981292,0.0930672430383998,0.0005670496101362049
114,0.09795663699764404,0.08560077157792527,0.0009793986707924375
115,0.16451881028194018,0.10447537322692689,0.002025645440389919
116,0.059384595694472526,0.0968794948634736,0.0007084375812231465
117,-0.04753119894670372,0.08764402439293353,0.000617259960466323
118,-0.027084214594907282,0.08970796230708862,0.0005689170615951096
119,0.051143230081450955,0.09197240982877797,0.0006517035763155503
120,-0.14386019350210455,0.10085119299567549,0.0015949344152293853
121,0.045469473116473653,0.09262345420324847,0.0006339492784808578
122,-0.023343328777556512,0.09825165374930978,0.0006098191830938444
123,0.016794241697672373,0.10969749941972447,0.0006659582880709807
124,-0.10819605617640667,0.09104933399253053,0.0010886580170267517
125,0.07803616457004303,0.09045835828390628,0.0007924636290468389
126,-0.09770959902565433,0.08960172493454013,0.0009671781652709807
127,0.017115748887965365,0.08704359387818456,0.0005375140284855418
128,0.011424149025009551,0.08908432524684991,0.0005432223787518433
129,-0.05593883682572056,0.10124369035745048,0.000713695019020545
130,-0.13496697990779422,0.09077335452392213,0.001573027556657028
131,0.011145726668562249,0.09834846869412217,0.0005963501397498271
132,-0.09322367683161288,0.0990289037685596,0.0009240876460649742
133,-0.06726042975889066,0.1120758026152563,0.0008089932955599601
134,-0.026137711091297307,0.09570484915628405,0.0006003263392297995
135,-0.11145641381605156,0.09381112291045701,0.001119361603826909
136,-0.010233153814512893,0.10260440647100429,0.0006201301065019903
137,0.050195012916290825,0.09196799773574342,0.0006479749632695144
138,0.018510777861370724,0.0952672011101074,0.0005861258242579019
139,-0.043453294044750575,0.09808921939050827,0.0006549324603321316
140,0.014538006946125958,0.09578169589710156,0.000584564132380299
141,-0.07006191760526059,0.09806321471548489,0.0007657687909900483
142,-0.0035656237749273037,0.10626346104628004,0.0006382495934457492
143,-0.059324902230783454,0.08570422660189142,0.0006620334614478603
144,0.05868289603231745,0.10030399449399499,0.0007205249378330048
145,0.03766149224684399,0.09447488460251637,0.000619576832651746
146,-0.04423566308007825,0.10084241469484953,0.0006713393180210927
147,-0.0629856797823817,0.10657248581208154,0.0007665761097161906
148,-0.06507153781192668,0.08672847861665105,0.0006975732897360061
149,-0.09314144499462644,0.09644773089891906,0.0009208006675562598
150,-0.05822114094908962,0.08964469919583441,0.000672316777430506
151,-0.0007588063454821559,0.0951808759380807,0.0005739237600538847
152,-0.0359181038472211,0.09307568130672729,0.0006075576875243955
153,-0.0643228177107837,0.09469495501734543,0.0007228581438676108
154,-0.03194619684743725,0.09845749706654801,0.000626998266672352
155,0.08058314956437611,0.0946143939636958,0.0008201180571988903
156,0.0040461796598920685,0.09299845697264969,0.0005618111098918988
157,0.011403540121113899,0.10492092791565692,0.0006341808196531069
158,0.11328281069326214,0.09290708276959876,0.0011483529864067174
159,0.06000056153502547,0.09293187701345319,0.0006944747579793136
160,0.01662957179695024,0.09165990887335024,0.0005632776499228694
161,-0.021884504210828416,0.09411164362185095,0.0005843193179595814
162,-0.040464547017490055,0.08994522022435214,0.0006041855575498816
163,-0.0952119090361761,0.10236206081019121,0.0009444520450706786
164,0.057679246109174805,0.09361422752472462,0.0006866559848272038
165,-0.03275145473895712,0.0882570847223052,0.0005737680209176807
166,-0.07828751279453798,0.09452447369808814,0.0008041543021618323
167,0.04504643816697788,0.09556814978446962,0.0006471998367280255
168,-0.03819160569703045,0.09890793799264126,0.0006443284629655721
169,0.03447877248648767,0.09331334997238903,0.0006051530636906401
170,-0.03297709097291367,0.0900866309278418,0.0005841471403394675
171,-0.07475861534445552,0.09579475936950244,0.0007851576736866623
172,-0.058953910271648924,0.10756939966014904,0.0007547685934476571
173,0.04898717838326037,0.10080495699580244,0.0006862917028813689
174,-0.059094998420328795,0.10568461910706953,0.0007466250269532149
175,-0.11965106436827891,0.10898458512152039,0.0011721639531904174
176,0.07856265627944052,0.09854893526290501,0.0008171879985498182
177,-0.020402791223713156,0.09334756203615205,0.0005778127225353558
178,0.03703598528537125,0.10355382798530072,0.0006660640878276104
179,0.04148341201760797,0.09995666042900396,0.0006587614779966853
180,0.025155190264056715,0.08588317853892247,0.0005439135314594988
181,-0.05064538528342216,0.09351129478591674,0.0006569896250140457
182,-0.02558064782068381,0.09056497928510736,0.0005707509037391663
183,0.10346050013107645,0.09536070803567201,0.0010202867130772082
184,-0.00962148955731295,0.10673537986449297,0.0006433959265712855
185,0.01719626007426669,0.10422894254757993,0.0006354205720055247
186,-0.16212785523337891,0.09027095004219463,0.0025419805189550613
187,-0.02025450196742353,0.09284973383464082,0.0005747854967205006
188,0.1311092118494086,0.09407707951576465,0.0014339588484225704
189,0.09713593622146766,0.09006983992530218,0.0009602723684667774
190,-0.028304286764343014,0.1082142944202944,0.0006733667018373753
191,-0.04687990306105628,0.09132491277198604,0.0006325251572566465
192,0.04043354625134541,0.09467638530633149,0.0006284181026571564
193,-0.08182898847168653,0.08904344306694668,0.0008184622452293172
194,0.13179667402642278,0.0910867438224187,0.0014938037195528428
195,-0.0035338309271442775,0.09726208986449135,0.0005863760095497901
196,0.10092248554995976,0.10137017304098811,0.0009921507539494918
197,0.01138701519210708,0.1042021340628683,0.0006300611766412706
198,-0.0033199667336293215,0.0902416669447422,0.000545606774818264
199,-0.022797066915919685,0.11643649514860167,0.0007106890045528319
