,mu,sigma,gamma
0,-0.008723383254046629,0.0912663711771999,0.0005538769796688837
1,0.04382801437770664,0.10532943256523206,0.0006931646411240102
2,0.07553393851451844,0.0969156255135622,0.0007934006624633286
3,0.0637396291395121,0.09844028418765277,0.0007350975551172165
4,0.09104719232505445,0.09969653300517513,0.0009076238714592848
5,-0.04271424285760646,0.10623557690049439,0.0006947557087937691
6,-0.14985386609449824,0.08965399294086042,0.00205075812177611
7,9.838991279295632,0.09645261698556722,1.0
8,0.05626585392005932,0.09025021187270545,0.0006657322744368673
9,0.04466305310440001,0.10891975798174099,0.0007140224779238857
10,9.903049290327157,0.10361378992069073,1.0
11,-0.011050785573519479,0.09642270578480595,0.0005852149740225865
12,0.02501617968480858,0.08973291419477118,0.0005650729818101357
13,-0.08385838382010459,0.10741193030870581,0.0008767406577498611
14,10.160245557483087,0.10425215306567806,1.0
15,0.12222549214327094,0.09025913917539634,0.001312481196155063
16,0.1830970865278363,0.10011098761291011,0.002952002109170952
17,10.140142518898138,0.10298655347918302,1.0
18,-0.036286436712989846,0.08590171836803269,0.0005707980260112793
19,0.10903278178265463,0.09408811272355505,0.0010875046817802824
20,-0.11659698150781025,0.0875263559816167,0.0012410102373937748
21,-0.06197539690140843,0.09486871830762335,0.0007119386863154425
22,-0.05370551538588836,0.09296653405680312,0.0006666520769830251
23,-0.0399333971502946,0.10035882783796571,0.0006565745630683063
24,0.07259469464559845,0.09677269865432164,0.0007754203734179658
25,0.12275386401455907,0.09370055466422846,0.0012867974874172044
26,-0.04695796921143598,0.09929282256179545,0.0006720556400943531
27,0.12601100743052374,0.1044852897694926,0.001262484284606261
28,-0.17253693912094037,0.09279093426473223,0.002917063181213074
29,-0.0983288758750364,0.0928643354178054,0.0009695225571100294
30,0.07462227684925377,0.08969852663820745,0.0007667943384935955
31,-0.03708102677780835,0.09037229423863848,0.0005964452576673004
32,0.0073377468665428635,0.0961424928650531,0.0005812944767846823
33,0.07028347105976855,0.09136870305089158,0.0007439032108761993
34,-0.013060806624307147,0.09921780214654347,0.0006028626893463978
35,-0.07741603915979274,0.10599997766288945,0.0008346051285580926
36,-0.0656211599238911,0.11596837440625461,0.0008194643174953853
37,0.015323113475068404,0.09402104336498163,0.0005752995242768747
38,0.10252678632222371,0.10482016687728551,0.0010079987499436594
39,0.15267803399397267,0.09233427093479046,0.002046453903903005
40,0.06241463687576971,0.0967135534171477,0.000721653963983548
41,-0.04840877057557778,0.09771967473075592,0.0006691435148222076
42,0.03690794236656498,0.0985542563758384,0.0006391594647053711
43,-0.16746509071320265,0.09292210852343238,0.002636646054617911
44,-0.09287970713222378,0.09718152635674292,0.0009192258294172642
45,-0.025370127628419843,0.10186282128345074,0.0006332319864622708
46,-0.09265106652428678,0.0984369665697204,0.000918684227581682
47,-0.1379415562066653,0.09509912298018523,0.0015613008895285687
48,0.02996453296165027,0.09493281280844114,0.0006035538230510794
