,mu,sigma,gamma
0,10.062338224050288,0.09482466843844609,1.0
1,10.063198213369065,0.11086085992744787,1.0
2,9.986004038681399,0.10268758817214556,1.0
3,10.138468164556269,0.1039922541620331,1.0
4,9.936954417364726,0.10616826206846969,1.0
5,9.804876465085378,0.1118187637250853,1.0
6,9.790668579520574,0.09408690648820105,1.0
7,10.000169481914174,0.09646133562505509,1.0
8,9.840836313970255,0.09481765612111132,1.0
9,10.135019832615383,0.1148289931150564,1.0
10,9.916257558965087,0.10362477431999681,1.0
11,9.906741594926746,0.10042513301944174,1.0
12,10.141940073929783,0.09340337566237086,1.0
13,9.8389869875942,0.11457909963745255,1.0
14,9.971429696991077,0.10426317533764128,1.0
15,10.00011099518621,0.09557452546974443,1.0
16,9.903007473752028,0.1049710931405879,1.0
17,10.151327789713136,0.10299679201767106,1.0
18,10.022515901250145,0.08953980260046392,1.0
19,10.090575493029693,0.10005951338351911,1.0
20,-0.06609626098599225,0.09177961447434765,0.053322384439258574
21,0.02339628919514951,0.09905971326831782,0.03975951047906697
22,0.03518388047279746,0.0967897267251328,0.0421692898008415
23,0.06352395096652158,0.10419320297238921,0.04406560898084716
24,0.04812378575604871,0.10141227035080899,0.04216193282573656
25,-0.009778857309484766,0.09856267254175746,0.039080756588841525
26,0.027113364207882608,0.10326930082216423,0.03844189632139073
27,0.09713067986800575,0.1106079192180319,0.05034669229626755
28,-0.0384458044709277,0.09594182281747732,0.04310885967002193
29,-0.10905389799785124,0.09773630511564006,0.07067476306587234
30,0.04857019931860481,0.09390681653065622,0.04630651309149088
31,-0.016154753115161454,0.09356658110877773,0.04147772427930775
32,0.04860680842456657,0.09912692853866924,0.043408341995423365
33,0.04750206271349306,0.09558156347894554,0.045087850666104906
34,-0.07288358881608427,0.10242822645335095,0.047760151242426524
35,-0.017939732049961434,0.11142103835176331,0.034994878493927274
36,-0.06950567085889854,0.12165229700080953,0.03715634718997561
37,0.0658514886055771,0.09697437493180086,0.049244992781594436
38,0.045783609157427116,0.11080689663584257,0.03772221559605741
39,0.010089307097111259,0.09622244369136315,0.04001580419736017
40,-0.03341771477838483,0.10103429043539167,0.04002936382907819
41,-0.03453851384283284,0.10165239085581948,0.039911085117204106
42,0.029829107928762796,0.10219222965079491,0.03913617364026719
43,-0.12624706949328238,0.09634239099243631,0.08900308535879284
44,-0.1087516188535763,0.10236286336043797,0.06411488256088989
45,-0.16504267450200916,0.10548491339313733,0.1139584632704323
46,0.0187771063251468,0.10368602791472624,0.03763371289873174
47,0.03896482589746887,0.09983566543937757,0.04133255049398997
48,0.0188103390712497,0.098194290779228,0.03973052710156766
49,-0.08430067967113349,0.09466637163164347,0.05894297311043393
50,0.10001786932161573,0.0933674885225778,0.07047987062874198
51,-0.1192756225078925,0.1047227423051686,0.06790256107011158
