,mu,sigma,gamma
0,0.11718723657737144,0.09402725510920737,0.08444128610845138
1,-0.0644713026737348,0.10956958247761331,0.04148261783832494
2,0.008542877725977397,0.10164259672361745,0.03789018710918782
3,0.1403763428106265,0.10296488355885226,0.08935045001549168
4,-0.058502047644500156,0.10502704384375292,0.042464577785173444
5,0.07125654705762477,0.11049752982026019,0.042543405975995284
6,-0.10715583431653182,0.09330228291644037,0.07635772460609666
7,-0.05894587392229695,0.0955988625528941,0.048034572890267524
8,-0.16207546932676772,0.09404713410070074,0.1577561272552457
9,0.16491101579279446,0.11348479020904852,0.09175565210040756
10,0.04678065303472171,0.10255777454311019,0.04136959628517377
11,0.13316673897159528,0.09949187253362386,0.08940911871055611
12,-0.08887533625893464,0.09262824525983894,0.06387342735240717
13,0.018199264785136633,0.11314289461971673,0.034479387505418554
14,-0.09196711815014165,0.10319547722428667,0.05436322341424581
15,0.05512098014210718,0.09473404773722219,0.04750143421661137
16,0.045668745065952324,0.10386282471272902,0.0405831363857634
17,0.16996561534871032,0.1020225940803635,0.1354391737387034
18,-0.047406067862386554,0.08884406450833947,0.04921873501272465
19,0.053721458273842185,0.09909828805310879,0.044543213614673526
20,0.14358949663223528,0.09181305970045502,0.12862535711795617
21,-0.001957744366088831,0.09905829221662658,0.03871653769473901
22,-0.01836488606852992,0.09678745068031776,0.04027168970886503
23,-0.020131226961704596,0.10418211221104186,0.037543058037592586
24,0.08845325771415682,0.10142774147314576,0.054386423162919494
25,0.029205602467583528,0.09856462708369561,0.040569588843883085
26,-0.00381979877369618,0.10326717966753698,0.037213900643553226
27,-0.10765490282768969,0.11061542597494275,0.054721440648365836
28,0.0067066284846055415,0.09593832900870242,0.040012205559002145
29,-0.09462032509032205,0.09772900053005984,0.06122000846577457
30,0.007219253223005968,0.09390153601188367,0.0408650787148125
31,0.11400775600796356,0.09359482502391847,0.08213877830163085
32,0.05393410032913679,0.09912833473705672,0.04457610149999139
33,-0.08567507695930396,0.09559365489483707,0.05868672760225414
34,0.0005637503853960674,0.1024128800199309,0.03748872913535913
35,-0.140311563644569,0.11149059397086795,0.07318749539121233
36,0.01276552982452783,0.12163039230287569,0.03191826287006852
37,0.011459210048033403,0.09696392141027839,0.03977851634664531
38,-0.2180809080359115,0.11096113769714365,0.19891517735527042
39,-0.08575177187427523,0.09623999957690035,0.05805953166315281
40,0.03522051105934423,0.10103457624767405,0.04026270325590421
41,0.03240134547041292,0.10165196308172977,0.03964699119631385
42,-0.21812567524663176,0.10231859067220528,0.27473788407531696
43,0.1214770286094145,0.09633965572648638,0.08397940889653954
44,-0.029427715304408325,0.10233146071579301,0.03903802462960166
45,0.14347415413354583,0.10546526125855016,0.0870956507762518
46,-0.03590867380940172,0.103688883022923,0.03924181661591262
47,-0.06038290605722143,0.0998413467673006,0.04577019129650035
48,-0.0416180299915403,0.0981978002312298,0.04254571481352903
49,-0.11874447869544213,0.0946821716028742,0.08466116205497567
50,0.12138779133875949,0.09337776900447965,0.09044478003708505
51,-0.05701832237814359,0.10468955316615769,0.04231872806991648
52,0.05831695999266839,0.1088693055266192,0.04056951616805101
53,-0.031189353023328856,0.10020233050481292,0.040107071893905374
54,-0.03379388419271735,0.09877643627033904,0.04105776354210804
55,0.04328361727403765,0.10341285503257262,0.04039951792140348
56,0.02688576871214038,0.10268451633413968,0.038645493821295555
57,0.07607100991157939,0.10803486787073718,0.04516438886853043
58,-0.12864219888387454,0.0988648437735642,0.08597826768707097
59,-0.10725023791523876,0.11383586884932144,0.05177229673326333
60,-0.017278526022023143,0.1012462868848995,0.03843833848069005
61,0.03468277948089256,0.10327916230886176,0.039256340112683856
62,-0.010939991688241777,0.09579916202002296,0.0402250341391987
63,-0.08625593728133124,0.10194971984603624,0.05298994664787448
64,0.07972892836088329,0.11280075651784706,0.04341481939706952
65,0.020970073655114538,0.09312681318885374,0.04208449664264315
66,0.09195246152475678,0.10540157565576515,0.05245508555285515
67,-0.0007426078547973648,0.09075113806450927,0.04210638014018165
68,0.09111904370935539,0.09519304058359292,0.062130781616880765
69,-0.03405945706346878,0.09789801209499394,0.041490388363095425
70,0.06727428976342083,0.10182827163751834,0.046457181303215044
71,-0.06879484765314384,0.09636275732761125,0.05069768093487953
72,-0.06826387773960249,0.0992519788481264,0.04844243320161551
73,-0.01361447267327943,0.1061924236363183,0.03648907575593795
74,-0.061331196356758176,0.10335855143842039,0.04399215416746743
75,-0.09863073185389035,0.1054441529494378,0.055336339756353915
76,0.017682799779238277,0.09842753959730824,0.03955605349921662
77,-0.08745114230096157,0.10473829566613353,0.05119492554397223
78,0.01038578686534925,0.10544831647827703,0.03661835279586869
79,0.06782226581545053,0.09790565455369593,0.04923600712665108
80,-0.0756241968671976,0.11082541026347435,0.04344485066967926
81,-0.15352424412046795,0.09953936121688876,0.11634363375949136
82,0.005532112593046088,0.08962043911151998,0.042691577265198115
83,-0.06765823350914046,0.1066703863110929,0.04372031757132673
84,0.03858342897684677,0.11773755994173105,0.03450850547522051
85,-0.07685940492602407,0.08947486986884692,0.06056623434101978
86,-0.09894593389562467,0.09927733140516902,0.06192700117683071
87,-0.11983430102689958,0.10119987289408185,0.07360212255509169
88,-0.059818694458646265,0.10620981431034174,0.042150894173036704
89,-0.003229262592835948,0.10146519478446112,0.03784369855149515
90,0.015379460632002797,0.0941362113823659,0.04117540215479155
91,-0.17275399380005363,0.10686942813718203,0.1211736985768932
92,0.010150674376334146,0.10264631455634972,0.03758241836591693
93,-0.10728926149861366,0.10077826087128552,0.06520058198323578
94,0.030284091871314252,0.09356269482756724,0.042994734957765936
95,-0.06070381941630001,0.10171293077239543,0.044759966122368565
96,0.05040650756785834,0.09282669115621883,0.04743442559101823
97,-0.044297163228659744,0.10838793533885384,0.03846415094387775
98,0.02974727581865562,0.0997516333915625,0.04012771048567293
99,0.020485326440611986,0.09987219121407283,0.039189811256318735
100,-0.10627648567663145,0.098170818725205,0.06803073401279029
101,0.0013016441988845096,0.09960216711695132,0.03850908334527338
102,-0.019869100544398693,0.10450040030841977,0.037411543180429704
