,mu,sigma,gamma
0,-0.08084259188337897,0.09401125288329414,0.057853712573432
1,0.06685289693568598,0.1095707103240506,0.042002818566926045
2,-0.09991273909712577,0.10167048223024168,0.05977546475358203
3,-0.07214104495816019,0.10292341585134769,0.0472021337566479
4,0.035447828847953784,0.10502033605579833,0.038651599725054546
5,0.05094483410880118,0.11048858317495977,0.0385959430963786
6,0.055041981234213035,0.09328378202779858,0.048425652523929864
7,-0.010372531687788162,0.09559079828778311,0.04028475411616434
8,-0.05338696768170765,0.09399579596041537,0.047494762803220146
9,-0.1603130658441659,0.1134793877853073,0.0870382746913114
10,0.062460526523121104,0.10256270325893567,0.04471786506537108
11,0.022296867939516563,0.09944681802667185,0.039506105481336894
12,-0.14534653691821411,0.09265605935710258,0.12843263525774987
13,0.018330227614910502,0.1131429962167963,0.03448554877051035
14,-0.008790411176497698,0.10317074160570387,0.03735313490663347
15,0.06041890296872,0.09473544492852945,0.049067067289323016
16,0.08504468133758623,0.10387820247486822,0.050943894958131425
17,-0.01742392328345935,0.10194356519985917,0.038186953889142804
18,0.10041508847349088,0.08885908048929618,0.07834358724939375
19,0.04415541868336938,0.09909578459342343,0.042559888236211575
20,-0.054081286247695225,0.09177655645728733,0.049160861523467346
21,0.027003492819443087,0.09906019935638706,0.04011431101104566
22,-0.05045746376578337,0.09679296816250531,0.04507800352282574
23,0.0753423143836882,0.1041981623112456,0.04735717111461426
24,-0.048601902028834056,0.10141239386371803,0.04225272273637961
25,0.09781064888438684,0.09858712024733819,0.062070727024039464
26,0.020051882994573497,0.10326833411447997,0.03786951244230773
27,0.07676878571044753,0.11059534962655271,0.043869789989158
28,-0.04703301930591368,0.09594359881775402,0.044782262894319275
29,-0.04227396151114523,0.09771098506577379,0.04290360689548935
30,0.05151079624427904,0.09390752381205222,0.04704836034867458
31,-0.03933102352466521,0.09356955324410472,0.04449519316863851
32,-0.0003224659656679438,0.09912067277318362,0.03868604044646098
33,0.023280769417391153,0.09557747089497545,0.041219290593803685
34,0.06136246962291299,0.10242375093882516,0.04452103197752219
35,0.05027764923519691,0.11142916450509201,0.03811683005162394
36,0.025585145867912534,0.12163274745354999,0.03243448513380684
37,0.0065833599714768985,0.09696369527883378,0.039600380102040325
38,-0.029700080073411267,0.11080246150563126,0.035970766770556536
39,0.08769775433025044,0.09624085341804159,0.05906308854298411
40,-0.12545713209208512,0.10107438333883736,0.07855649129504712
41,-0.028558526297919707,0.10165132299422963,0.039218114273674755
42,-0.04342156731661151,0.10219511224066306,0.040966416397725476
43,0.048707044937443766,0.09631002381853893,0.044949804665913015
44,-0.09847734659209202,0.10235685487926618,0.0582880096916205
45,-0.14161771741002602,0.1054636822854792,0.08522480778516109
46,0.10905023762412139,0.103720309791082,0.06264025516936873
47,0.13078885670462578,0.09987683363687308,0.08602994311337804
48,-0.021591121333740217,0.09819454720431894,0.039953191144096935
49,0.008739038249241247,0.0946500757773015,0.040605737505056194
50,-0.029167954629275333,0.0933472779893979,0.042942987089713586
51,0.025483093736438506,0.10468148684666093,0.03776659519661525
52,-0.10658957954451152,0.10889633433400984,0.055824967336585624
53,-0.05538996896165723,0.10020811758664024,0.044317349370431816
54,-0.12754481855521715,0.09881523460477228,0.08495837699158698
55,0.0035720959763252277,0.1034073510020934,0.037162177467998964
56,0.043737475267828674,0.10268803371589881,0.040794903124338186
57,-0.07148433847728529,0.10803267451256908,0.043932111537517304
58,-0.07507278698545682,0.09883692939710186,0.051096150955567576
59,0.08124941379839484,0.11381707077253751,0.04324987723579335
60,-0.01702774642268404,0.10124622895948822,0.038422873471255135
61,0.193154532747475,0.1033812756328916,0.18111607350029668
62,0.017233898437594614,0.0957995656947103,0.04059934126313337
