,mu,sigma,gamma
0,-0.012926087615027497,0.09398282055301524,0.0003783417699417294
1,0.0430850263662939,0.10952833721755839,0.0004718366337989762
2,0.07849591925557484,0.10162840336918172,0.0005459772382507563
3,0.06933652453084498,0.10289174780861861,0.0005147849625092661
4,0.09019322043335228,0.10500180043287725,0.0006053173851994849
5,-0.04410936531857294,0.11045153897773696,0.00047693975191983364
6,-0.16125925232844923,0.09328390992327834,0.001654497214094018
7,9.850876298141122,0.09644342440855815,1.0
8,0.06625333135691844,0.09397902610020807,0.0004804149926371974
9,0.04677948578881139,0.11335193032838499,0.0004921083065137275
10,9.916995710964002,0.10360258136510751,1.0
11,-0.014029493411132032,0.09942747655909578,0.00040044618833560665
12,0.022980739743505105,0.0925986950810802,0.00038080791603594126
13,-0.08867528036422802,0.11311857721615912,0.0006130970798976194
14,10.172557273931227,0.10424132067680289,1.0
15,0.12552945088055384,0.09472548870204182,0.0009082245130547561
16,0.19335294428042418,0.10387356365064396,0.0023351845261528315
17,10.144003334313222,0.10297615976692312,1.0
18,-0.0412923801251052,0.08883033198864877,0.00039464057468320096
19,0.10861263229758011,0.0990838967784598,0.0007201494338347712
20,-0.1265804766371349,0.09176999595602764,0.0009466803584493846
21,-0.06280776432911855,0.09904419202009782,0.00048284835249762877
22,-0.05524778595113013,0.09677340809269216,0.00045416071823262686
23,-0.04432805488790723,0.10416027150481871,0.0004546825183675261
24,0.0722669720233404,0.10139105007299734,0.0005211313730446291
25,0.1277620469013696,0.09856005897453748,0.0009098265906581837
26,-0.043187876257714364,0.10324729282637397,0.0004493186512864594
27,0.1265112020641531,0.11056457536344665,0.0008477997015926826
28,-0.18464739748495063,0.09595159191201598,0.002430351708151721
29,-0.09874443934134468,0.09769863632989165,0.0006490209797651835
30,0.07011177628568846,0.09389171359327145,0.0004947260357625683
31,-0.0467142289987233,0.0935542586468847,0.0004225765640964588
32,0.0051066081877711444,0.0991028107310244,0.00039571253594884655
33,0.07219118994208615,0.09556567474135463,0.0005068290582742328
34,-0.021259849551662116,0.10239231852363807,0.0004171882201446858
35,-0.07673629068518853,0.11139619636047003,0.0005629982629346072
36,-0.07225353153693811,0.12159041781100362,0.0005782985860846585
37,0.014501819049927056,0.09694776818076743,0.0003909460388952551
38,0.11409841276844315,0.11078562673474371,0.0007503452678524441
39,0.1541648354687089,0.09622703161911664,0.0013827160417015877
40,0.06381383121862375,0.10101564204103304,0.0004916988358747842
41,-0.052364881997021225,0.10163158610980011,0.0004627519426676797
42,0.037499604496775314,0.1021704195281574,0.000435780623506739
43,-0.1764396443071158,0.0963151183403106,0.002051594090793591
44,-0.09646641859210385,0.10231776984940716,0.0006360962956858186
45,-0.02549048083180644,0.10537859253049774,0.00043266404200873165
46,-0.08758133345379317,0.10367097535667034,0.0005904924249205495
47,-0.13681035002886618,0.09983089723162908,0.0010171267388493018
48,0.030410848282004847,0.09817709121902554,0.00041072655566983484
49,0.05443187911911271,0.09463813003133069,0.00044523180048082706
50,0.018988285357820437,0.0933322389750428,0.0003799681835385349
51,-0.10117677523983727,0.10466750150246915,0.000665644972875975
52,0.04877111768181815,0.10883243634143101,0.00047976045505414327
53,0.08148444934468987,0.10018732995153662,0.0005559851877281073
54,0.0003840302710278351,0.0987557995678265,0.0003938079498414501
55,0.04601282701592533,0.10338760394560095,0.00045515188933801354
56,-0.06113130587346911,0.10266507593748414,0.0004887283163679714
57,0.11084426961348269,0.10800314384992794,0.000728838279368578
58,-0.04104505721561952,0.0988060890499123,0.0004294883878922562
59,9.86738992857713,0.11522260667171273,1.0
60,-0.018202846557475196,0.10122590785874924,0.00041022433074776495
61,-0.08471367758503497,0.10326138791194972,0.0005763359681102633
62,-0.12731913487559926,0.09579743350119384,0.0009231832439528483
63,0.08854161453876375,0.1019160627857175,0.0005925420872174807
64,0.018692502380361277,0.11274367667049644,0.00045576080151434365
65,0.07335357879566534,0.09311682003706052,0.000506325694100878
66,0.193059013679595,0.10539223314116522,0.00224343390526657
67,0.04308671362898218,0.09074084320846477,0.0004050181968578261
68,-0.012268217304841697,0.09515904122619628,0.00038263533825812435
69,0.06473155800456232,0.09788205684929326,0.00048565781820737595
70,-0.06745178097498779,0.10179965137974051,0.0005055026794052192
71,0.15015175188152274,0.09635492786958376,0.0012921799117635556
72,-0.07557605756251676,0.09922703123537771,0.0005287223276294505
73,0.07526400919133587,0.10617342601079952,0.000544185249093857
74,0.15533372366191525,0.10335090764809017,0.001273327733922724
75,9.980421114777172,0.10655477769416669,1.0
76,-0.044882554805929675,0.09841131716565905,0.0004354150743613271
77,0.09237933191073967,0.10470093619341762,0.0006159675464014929
78,0.08102356410225739,0.1054312799449833,0.0005646927397337005
79,0.019330859498881813,0.09787739529877036,0.00039798659851362025
80,9.94274390411881,0.11212754140401543,1.0
81,0.03945842519159328,0.09946141246951234,0.0004290683828208958
