,mu,sigma,gamma
0,0.15041114263440786,0.09382928130361587,0.0020437471985448557
1,-0.07228992065626373,0.1070145408272362,0.0008011611465567326
2,-0.005354096678049875,0.09856316408735703,0.0005943268209650585
3,0.15113401420746692,0.10253609188122934,0.0018191139727870842
4,-0.06357506444755652,0.10251202857867786,0.0007425230330520068
5,0.08841984351821316,0.10828859402877287,0.0008986477843600664
6,-0.12115452624214694,0.0925904097035493,0.0013071866861795027
7,-0.06246418265031001,0.09352879445046114,0.0007010971969244678
8,-0.16284392345349383,0.09401244904839895,0.0025473528902577435
9,0.20818104429440715,0.11383129787214291,0.0036467711924522573
10,0.05396386760213675,0.09997744756088074,0.0006927219257177869
11,0.15201183867738288,0.09917995855677089,0.0019272691615230238
12,-0.10900252479165981,0.09169470960396436,0.001113874137345548
13,0.010626263952652875,0.10947093140263148,0.0006592244250590046
14,-0.08380543240846713,0.10121980961998975,0.0008507479907440102
15,0.05871026940195363,0.09263203548503063,0.0006797072214283965
16,0.030394818809646663,0.10084385538898755,0.0006337497025861684
17,0.1608213403332245,0.10177936953805643,0.0021292257091816203
18,-0.06983589919493537,0.0872417587133845,0.0007220741525066314
19,0.03999929851333888,0.09645264534908952,0.00063160172916737
20,0.14661386435294957,0.09159008837973652,0.001989485597767082
21,0.002151789382605338,0.09610650904434133,0.0005794079561532286
22,-0.04723789437307873,0.09438050677481931,0.0006426703163501774
23,-0.04165431588302396,0.10130821364440698,0.0006610598534352591
24,0.09022879244406352,0.09969176593050648,0.0008960206290875491
25,0.020021045340613945,0.09571695865697087,0.0005892895241667534
26,-0.004821158384895962,0.10010273506180557,0.0006030508886504457
27,-0.12979086704857895,0.10945699369745433,0.0013135071084832545
28,0.017487910429691274,0.09320565414855833,0.0005720615887199908
29,-0.12815328122136133,0.09701798365931978,0.0013895740168090485
30,0.02335200352689664,0.09131828809628718,0.0005691493726991378
31,0.14482983198358104,0.09331537216210416,0.001873771813804069
32,0.06622111950222839,0.09696621185071587,0.0007329873681385052
33,-0.08890954100430681,0.09409290319911612,0.0008797111337190365
34,-0.011856721576629725,0.09931705265476873,0.000601946964510257
35,-0.1835836451286933,0.11147896518213707,0.0025912744734706418
36,0.039787231902151186,0.11778817262551114,0.0007432062280767105
37,-0.006177240061184996,0.09412474396027797,0.0005689564879370055
38,-0.23826932828147535,0.11162323773550559,0.006611716812185649
39,-0.09760804570740242,0.09490996253778979,0.0009630584032419118
40,0.041627848838509666,0.09831985361686482,0.0006455805602965987
41,0.021075597496392113,0.09865456409334503,0.000607189368857216
42,-0.22811586131852638,0.10287772181391665,0.0073243187248877685
43,0.1026442662226714,0.09510369047215858,0.001018140295564937
44,-0.021589614562852955,0.09930396783880122,0.0006115009932149222
45,0.14985340402643832,0.10493327624708439,0.001738242832671437
46,-0.03956870275252412,0.10080579356587646,0.0006531704554301408
47,-0.08293617217725967,0.09801760378123166,0.000837652077070266
48,-0.045316281948105025,0.09568474416144448,0.0006429180841232868
49,-0.12413855677872833,0.09397892142749674,0.0013479695113649815
50,0.12973462961031823,0.0928263836794658,0.0014802180424872734
51,-0.0355303645861069,0.10169028260251818,0.0006485415206384032
52,0.07802025800358582,0.10648901815680649,0.0008295776903964249
53,-0.05647320457251673,0.09779271685720091,0.0006923514683719291
54,-0.004209553333364678,0.09583882759788133,0.0005782535175268558
55,0.04603466068524623,0.10064628984128447,0.0006698441425263852
56,0.03640979607052453,0.09980897895868193,0.0006404503890117206
57,0.0958737795483309,0.10613423305028284,0.0009494199243463181
58,-0.13773390625340726,0.09829699319450684,0.0015715106368918378
59,-0.12571290096882987,0.11243760200821096,0.0012456317025399803
60,-0.027742349722213115,0.09833713083256665,0.0006152990278203895
61,0.031756599707903455,0.10030975707568957,0.00063339557002013
62,0.010834152638280348,0.09303470387120309,0.0005651282539313774
63,-0.08300613463247726,0.10001775198413589,0.0008424891457196921
64,0.09497581103824336,0.11064363669109112,0.0009495375441271822
65,0.012684174384477553,0.09050314007810634,0.0005519337699308701
66,0.11468823748618079,0.10408828552728716,0.0011371137302107345
67,-0.02489355900186842,0.08833668657318923,0.000555004987723465
68,0.116192270427222,0.0943176272436967,0.0012061095585455305
69,-0.035449984001831324,0.09525212051896073,0.0006140206563404807
70,0.06737896212149758,0.09955343609854088,0.0007485643679806594
71,-0.04758259403367376,0.09397229937282953,0.0006418455390541489
72,-0.06446577650653991,0.09704219331677774,0.0007245507129393732
73,-0.01621865104805869,0.10292395125395248,0.0006260607648230531
74,-0.0944249124560752,0.10164646187971275,0.00093281296134189
75,-0.11583278891397784,0.10415361312342163,0.00115088677267967
76,0.023962204406599612,0.09562306038000358,0.0005941647082962415
