,mu,sigma,gamma
0,10.060979144773214,0.09482460957213057,1.0
1,9.941786081025423,0.11086104391878948,1.0
2,9.982920126539623,0.10268736594757015,1.0
3,10.099230739639964,0.10399220477300568,1.0
4,9.855905053416112,0.10616846732930696,1.0
5,9.741761624611057,0.11181885906720282,1.0
6,9.786757293312563,0.09408702048109309,1.0
7,9.955410836641793,0.0964614491790229,1.0
8,9.796587426828129,0.09481786872911395,1.0
9,10.08448342961235,0.11482907538578561,1.0
10,9.853895802146992,0.1036249175839328,1.0
11,9.93452875611869,0.1004250548023051,1.0
12,10.185638218686188,0.09340339829745792,1.0
13,9.769977598563575,0.11457933352676324,1.0
14,9.95662103571043,0.10426315381686876,1.0
15,10.056742393434353,0.09557441537168994,1.0
16,9.965466428467634,0.10497090176915581,1.0
17,10.112926941566927,0.10299684750776969,1.0
18,10.01547248690204,0.08953982492812221,1.0
19,10.051971769628041,0.10005971298562148,1.0
20,-0.09430993922110562,0.0917890966093032,0.0006202744970520157
21,0.014430446366737792,0.09905880006023683,0.0003991872743268469
22,0.06013351257024234,0.09679561842022928,0.00046803928116416184
23,0.03407435012369179,0.10418450157628271,0.0004381922409187964
24,0.02944592581413702,0.10140815875432975,0.00042172960285087515
25,0.010131615020485018,0.09856266124405413,0.0003950812330496454
26,0.01824913188345465,0.10326806839520529,0.000418217793109241
27,0.12394510488345743,0.11062860034724754,0.0008256919512059823
28,0.018765777335557062,0.09593908565035154,0.0003899317640766968
29,-0.13729111306409064,0.09775331153209334,0.0010443706111344403
30,0.06564774593140708,0.09391122504210526,0.00047802271951910216
31,-0.005889489180414327,0.09356612082986476,0.00037383421219869435
32,0.05874971178484822,0.09912976835381815,0.0004710730262510429
33,0.05719633774159135,0.09558399321070217,0.00045579591574469773
34,-0.06893264177381561,0.10242662263947301,0.0005120815353811443
35,0.014718094177227333,0.11142068167432344,0.00044809938314286903
36,-0.03112591632446326,0.12163420759876004,0.0005009818441054333
37,0.06697538299498965,0.09697473074654718,0.0004907285587788671
38,0.07554468027752344,0.11081987248326829,0.0005572384618543237
39,0.055392846760875365,0.0962296610715592,0.0004527868941572349
40,-0.07343534103985638,0.10104617969136162,0.000524542480566361
41,-0.04009648350373787,0.10165356183629035,0.0004380706632077274
42,0.006649587169061757,0.10218979986406439,0.0004083125483209873
43,-0.11816744441783486,0.09633773292303838,0.0008146429881957451
44,-0.16334612605623214,0.10240370771273863,0.0014558522006501032
45,-0.1557640837187445,0.10547614683600473,0.0012503609135103586
46,0.0305965618391532,0.10368775389858129,0.00043179386707853335
47,0.09052010561028964,0.09985351180992957,0.0006002691644721761
48,0.05529205890403956,0.09820121772680168,0.0004587564455746697
49,-0.05862180771700652,0.09465796673406583,0.0004571649426952211
50,0.09109939418922296,0.09336379027409479,0.0005990709948936178
51,-0.11626752346594298,0.10472058474171292,0.0007729323935129354
52,0.04166358678858491,0.10886366551408969,0.00046696947834545387
