,mu,sigma,gamma
0,-0.08808839941400107,0.09401402056640244,0.0005812903107396835
1,0.08561380247540075,0.10958061848855065,0.0005926211861392958
2,-0.10752376565558802,0.10167478342637092,0.0007088229245584959
3,-0.06997046740124174,0.10292253123277995,0.0005169416499007233
4,0.05128587166545683,0.10502461289815598,0.0004717078409683823
5,0.060350425627984275,0.11049238612430709,0.0005112909352794498
6,0.03279801783426202,0.09327940103796095,0.00039565151334757155
7,-0.00487119701793231,0.09559061270329526,0.00038165577182671116
8,-0.07181606596185484,0.09400105444037747,0.0005017457020437522
9,-0.18452637609171718,0.11350923888925615,0.0016947796582609186
10,0.07272901459140994,0.10256668489015769,0.0005257211238136627
11,0.029346197701560117,0.09944782365720756,0.0004141568314313719
12,-0.15592109621420908,0.09266261036380417,0.0015206675838754017
13,0.018171128881548718,0.1131429354490772,0.0004569163758777409
14,-0.021648415957741533,0.10317188134561377,0.00042050852735659014
15,0.06669608779952209,0.09473730170203835,0.0004839055058160517
16,0.09168112211157067,0.10388172774111801,0.0006112013653619523
17,-0.022955056152718256,0.1019442092024866,0.00041689769895851103
18,0.10464216917051788,0.08886070784551786,0.0007085452294811117
19,0.05685495559989524,0.09909916773076247,0.0004657597000042483
20,-0.06482377736986154,0.09177923344883304,0.0004695710768525107
21,0.038692591830896884,0.09906223848323076,0.00042627115851481015
22,-0.039230922534772124,0.09679049329367932,0.0004189523115138499
23,0.10749580034603635,0.10421570256856318,0.0007070130323987611
24,-0.033639134645197064,0.10140892113665526,0.00042718638490070416
25,0.10821723599105525,0.09859256436786655,0.0007177018232316033
26,0.012308020966268889,0.10326757523847048,0.000414674593184835
27,0.08914911337297292,0.11060265256543943,0.0006099894127415382
28,-0.05826388548863845,0.09594644935331668,0.00045997221459029254
29,-0.05558809793755195,0.09771432876114268,0.00045799342848877963
30,0.06045059078687391,0.09390975737280594,0.0004605957347432695
31,-0.04571482934834564,0.09357071640630311,0.0004203702001831672
32,-0.008826995990998992,0.09912082760954413,0.0003967938428036081
33,0.023969662644861445,0.09557755459755984,0.0003932739796812599
34,0.08918309602431526,0.10243584131044552,0.0005964441838119382
35,0.07524724402701444,0.11144065069595814,0.0005579033458510433
36,0.0065893910756557065,0.121629899855844,0.0004855633461035269
37,0.011957953568697754,0.09696397536200142,0.0003895812244439316
38,-0.04336235647326482,0.11080608507859237,0.00047687632504360915
39,0.09748760479017013,0.09624515927854982,0.000640762445003062
40,-0.1374516883553362,0.10108275319804555,0.00101525931010949
41,-0.014427729389876345,0.10164959292309506,0.0004093971482768236
42,-0.06483307944198721,0.10220183942675198,0.0004982281157396217
43,0.05742457438111303,0.09631224029257068,0.00045867411988002144
44,-0.08834911663830196,0.10235147695345201,0.0005921300266186161
45,-0.16899888854735232,0.10548879661634143,0.0015163639140365003
46,0.11300092175865567,0.10372288527491395,0.0007482669794928741
47,0.15621465084099978,0.0998954659265384,0.001351697377762726
48,-0.015715093410188688,0.0981939485657386,0.0003965744468995486
49,0.003902519099568149,0.09464999630713235,0.0003777340583521007
50,-0.023660244600961056,0.0933466194008113,0.00038436153191470824
51,0.04855322183205198,0.1046867778301675,0.0004647396545821352
52,-0.14217132414393197,0.10892562846888465,0.0010171834396186705
53,-0.059703144551350784,0.1002094541266559,0.0004770823179094381
54,-0.14170234920087538,0.09882474885836011,0.0011007712308667994
55,-0.012978783101868977,0.10340779277712543,0.0004155582638513107
56,0.06004817362247453,0.10269296544539765,0.0004857144633708223
57,-0.06168810491191833,0.10802824696544243,0.0005068853672441096
58,-0.07090310805854357,0.09883537929583086,0.0005096274517688707
59,0.12063432135380228,0.11384732430358414,0.0007952462800063505
60,-0.011620144006661726,0.10124585129942348,0.00040635465697543363
61,0.2213983679278302,0.10341224324563357,0.004070648230492778
62,0.017893708018956442,0.09579965237419187,0.0003887099015213113
63,-0.060826028817753716,0.10193904685814939,0.00048556769406229983
64,-0.053781225771607925,0.11278764965103595,0.0005037226815874736
65,0.03863058265350606,0.0931291621239092,0.00040469024585876605
66,-0.06180014664522269,0.10538721261107213,0.0004989273622513222
67,0.01474332669079064,0.0907515768421147,0.00036668410693946476
68,0.23535052815384094,0.09529494763351821,0.007980258442776729
69,-0.017063079617362444,0.09789581566419231,0.0003963139710158619
70,-0.04856522775651944,0.1018221202526208,0.0004548442915711538
71,0.00957362782581361,0.09635140744161044,0.00038609154608249273
72,0.029141084778260096,0.09924188777341592,0.00041312343141535846
73,0.10394364677295846,0.10622615285953904,0.0006832971484376359
74,0.04989933771188561,0.10335482605549622,0.0004629755653393471
75,-0.020783033204363744,0.1054151604341142,0.0004285354593464566
76,0.051475979528682866,0.09843359046810095,0.000449944920217235
77,-0.07453253104112076,0.10473196976942746,0.0005377778567858261
78,-0.0004212146912557038,0.1054479701247129,0.0004204303894613643
79,-0.07332759727222753,0.09790758765175876,0.0005166595447019133
80,-0.0926027915448335,0.11083552358325177,0.0006262217682107418
81,-0.0978682497872812,0.09950348997219706,0.0006433097613156362
82,0.04213092221781824,0.08962393468825869,0.00039910841024926345
83,0.061439508171272555,0.10666780212329505,0.0005019341563625945
84,0.013287272705170182,0.11773185861190433,0.00047233199529118713
85,0.02580202606387032,0.0894645251275364,0.0003718907473188053
86,-0.06072902853190803,0.09926137673571944,0.00047716587655003735
87,-0.003785070726164617,0.1011603224173628,0.00040363121700404006
88,-0.03752863871699729,0.10620294047389983,0.0004506827554268559
89,0.06990373319450738,0.10147889797163596,0.0005128528718023752
90,10.091716041284613,0.0949675622402425,1.0
91,9.969909730577776,0.10798582313426938,1.0
92,9.722558000815892,0.10372270052609123,1.0
93,9.992154418879293,0.1017647309009591,1.0
94,9.964137987620138,0.09437759376879432,1.0
95,10.101844951046807,0.10274934527966431,1.0
96,9.87284763553485,0.09361896416570528,1.0
97,9.859982900272227,0.1096463589944238,1.0
98,9.6267944516812,0.10073851544572794,1.0
99,9.830010328529942,0.10086338980664479,1.0
100,9.729187847748962,0.09908433490368769,1.0
101,10.126010035101508,0.10058587584525348,1.0
102,10.028390025505237,0.1056340220123315,1.0
103,9.894202424247936,0.10118836343785798,1.0
104,10.086176778121597,0.10461578469715559,1.0
105,10.125722624970972,0.09265008589210447,1.0
106,10.320604647424693,0.11469522816799128,1.0
107,9.803764220047404,0.09883596061194348,1.0
108,10.012704743435142,0.08749269983836316,1.0
109,9.899015231793694,0.10050516556191218,1.0
110,-0.01719183577256576,0.10265770006923276,0.0004150879009084067
111,-0.08859506311792918,0.09200538652757188,0.0005830839657845908
112,0.0991738328195814,0.10359005392551104,0.0006528825311839267
113,-0.015524644914528832,0.09592610693608825,0.00038753544017580265
114,0.09600940379847146,0.08979546703318554,0.0006339449362861494
115,0.1742680469507137,0.10979050527569184,0.0015413713705177041
116,0.061061959151283485,0.10112098357919226,0.0004837492691762818
117,-0.0457946084823692,0.09098495659819064,0.000411766089295286
118,-0.02493898743264226,0.09262867526852832,0.0003829818147038417
119,0.056378368446578744,0.09566491648624251,0.0004537361570689129
120,-0.15264102256776169,0.10627294683753276,0.0011877296952129473
121,0.043452366454062204,0.09617962624011271,0.0004246773456503096
122,-0.02479218375174709,0.10155292332121152,0.0004171488071306755
123,0.020506512224874235,0.11353042839585065,0.00046004595067012093
124,-0.10982481586218888,0.09577276463639546,0.000736678816259727
125,0.07622054169947803,0.09480540714669045,0.0005221329253770912
126,-0.1052368570273534,0.09416909904563393,0.0007008281063420664
127,0.01085419462846534,0.0896487657765798,0.0003601140554838549
128,0.006989013504773165,0.09172503070805742,0.0003668218257262964
129,-0.06522134846575703,0.10563900904425204,0.0005095246210636231
130,-0.13905626476700736,0.09506752120679704,0.0011041183490211974
131,0.014823005481625323,0.10147677311457294,0.00040894537413178796
132,-0.09934572112125861,0.10436691426138872,0.0006543402682126056
133,-0.0738842535168839,0.11756797022570119,0.0005708570482272244
134,-0.03139623478710491,0.09892485028456571,0.000414799595799023
135,-0.1140393754310942,0.09881469665483135,0.0007664877212767053
136,-0.013626899657980964,0.10595815870315313,0.0004259634309391852
137,0.05629695051857124,0.0956315930207299,0.000453405897878725
138,0.02135353844078454,0.09832281530689001,0.00040139283325083376
139,-0.04615507678886896,0.10189323395419635,0.0004501180376495579
140,0.01856901840448232,0.09880918947157297,0.00040099576673200874
141,-0.07860598298398545,0.10272472995165306,0.0005487501203487208
142,-0.004105038262981739,0.10978172199095788,0.00043799141437949165
143,-0.06380524555522565,0.08927057819612216,0.0004594951287473666
144,0.06188780487825563,0.10473267885136883,0.0004971477918401412
145,0.05106276267811281,0.09791243287862274,0.00044723005962656834
146,-0.04814275907999474,0.10482819795575675,0.0004643932200009342
147,-0.07577964265904677,0.1115498510148491,0.0005600045935632907
148,-0.06555533820194458,0.09050977668446136,0.00046907665518235555
149,-0.09971954854515779,0.1015659592911363,0.0006554961932761932
150,-0.055075775287699524,0.09341242686320742,0.00044313405773399557
151,-0.007159413091539572,0.0980845315960949,0.00039213889832007435
