,mu,sigma,gamma
0,-0.012930599319862979,0.09399686679868513,0.00037837157175485804
1,0.04310758870861061,0.10956156996049005,0.0004719199771858764
2,0.07852733145663278,0.10165979342722069,0.0005461004142938422
3,0.06936338999611394,0.10292230441825569,0.0005148829471041614
4,0.09023255217214321,0.1050415684379646,0.0006054855953071135
5,-0.04413464437104978,0.11048632056765166,0.00047702986376038203
6,-0.16129914860314906,0.09333309706018546,0.0016552296447486605
7,9.850876168572281,0.09646153830631403,1.0
8,0.06627097102177346,0.09399928093072747,0.00048048027704603274
9,0.04680946646303091,0.11339176181592377,0.0004922135725142756
10,9.916993434136888,0.1036246740991574,1.0
11,-0.014034706027388447,0.09944601948981065,0.00040048511517092554
12,0.022988098558946363,0.09261226879994798,0.00038083910492659536
13,-0.08872588124347157,0.11317166955310899,0.0006132981000575435
14,10.172556092759745,0.10426261676412896,1.0
15,0.12556467089896053,0.09476295429870864,0.0009085206113177139
16,0.19342420296590887,0.10396418845975122,0.0023369998940477687
17,10.144002187304885,0.10299677311346772,1.0
18,-0.041302020353498205,0.08884298388175568,0.0003946742062135092
19,0.1086515981236112,0.09912148186744142,0.0007203798340241437
20,-0.1266102817098124,0.09180379385437788,0.000946948274913557
21,-0.06282898433577463,0.09906872618067894,0.0004829241285323233
22,-0.05526595807860476,0.09679423280905697,0.00045422358872762185
23,-0.04434730418322647,0.10418692552803673,0.00045475125326072444
24,0.07229434005303638,0.10142045658550593,0.0005212334041912263
25,0.1278036921463101,0.09860420597380791,0.0009101599745647214
26,-0.043205801932419706,0.10327266570819722,0.00044938345458992135
27,0.12657705565475544,0.11063095686445838,0.0008482166866192052
28,-0.18469741164530445,0.09601703302296555,0.002431801382913214
29,-0.09877591235065987,0.09773107702392195,0.0006491815144043963
30,0.07013315285321124,0.09391261051623068,0.0004948077293377366
31,-0.04672712674933094,0.09357090626180696,0.0004226217182230033
32,0.00510921032855583,0.09912076972277349,0.00039574939159405263
33,0.07221370553370332,0.09558864949534392,0.0005069156974755507
34,-0.02126733710659256,0.10241415844106387,0.00041723461056150803
35,-0.07677992095575295,0.11144149075325613,0.0005631586785027363
36,-0.0723095144068253,0.12165407329977598,0.0005784961579369122
37,0.014506364302777497,0.09696419417556573,0.00039098044417365286
38,0.11415780173030814,0.11084584236920896,0.0007506603689655907
39,0.15421116499372287,0.09627844715452229,0.0013833949712002038
40,0.06383750900768619,0.10104253989750896,0.0004917831763167176
41,-0.05238606450090581,0.10165680316141504,0.0004628246605275786
42,0.03751473795001031,0.10219375070178936,0.00043583776258345397
43,-0.1764897025313552,0.09637726427039597,0.0020527804721452753
44,-0.09650477036342386,0.10235577189080743,0.0006362778754365051
45,-0.02550165069516717,0.10540402536577462,0.000432720101920341
46,-0.0876172872752049,0.10370790782568691,0.0005906434222333817
47,-0.13685706935406258,0.09988101935191113,0.0010175554522494719
48,0.030421763813241205,0.09819576386302883,0.0004107703919234054
49,0.0544485488733744,0.09465685636291112,0.0004452892874788727
50,0.01899302685230699,0.09334616210467785,0.0003799975708357108
51,-0.10122027498154168,0.10471083536861965,0.0006658570983062054
52,0.048796536606037944,0.10886586256230579,0.00047984979196879585
53,0.08151394249314044,0.10021778762795017,0.0005561049614939502
54,0.0003844106645035347,0.09877343848340508,0.000393843793676504
55,0.046031822382469154,0.10341366807403597,0.00045521967925708914
56,-0.06115627128980834,0.10269337367181453,0.0004888156684433679
57,0.11089740243418723,0.10805639914826992,0.0007291194113702396
58,-0.04105997115920159,0.09882662920876287,0.00042954135841412637
59,9.867385430928184,0.11525341081323104,1.0
60,-0.01820914004506507,0.10124639249191085,0.0004102674406245735
61,-0.08474867366217384,0.10329684128992044,0.0005764796090573331
62,-0.1273546797753851,0.09583708568860651,0.000923476986259973
63,0.08857688553463945,0.10195084120373615,0.0005926949314419002
64,0.01870134724654191,0.11277798689522152,0.00045583257853988953
65,0.07337401646274848,0.09313773110668483,0.0005064065361329709
66,0.19313551526376554,0.10548706454271763,0.002245275926510664
67,0.04309747006834522,0.09075496105955518,0.0004050558396379851
68,-0.012272014292442346,0.0951739374478093,0.00038266643623154745
69,0.06475150496514959,0.09790572175960947,0.00048573021471585954
70,-0.06747875597621447,0.10182836153514677,0.0005055998166013452
71,0.15019498635599204,0.09640476399829795,0.0012927418323292078
72,-0.07560196962910867,0.09925475955047142,0.0005288225142651228
73,0.0752984703473975,0.10621004169275511,0.0005443136400887292
74,0.15539237978578457,0.10341718300060594,0.0012740170990615486
75,9.980417742549218,0.10657840301126108,1.0
76,-0.04489795087890321,0.09843197819298694,0.00043546946284933917
77,0.09241983469800467,0.10474109486420541,0.0006161459077931306
78,0.08105995073240081,0.10546861362836579,0.0005648349540575499
79,0.019337443432124395,0.09789485541955802,0.0003980241905054001
80,9.942743613587377,0.1121555171897499,1.0
81,0.0394732940730835,0.09948234386596161,0.0004291217082470012
82,-0.053838160903710984,0.08962618684036214,0.00042800696171378086
83,-0.027341189218411454,0.10665793418334266,0.0004394340324990175
84,0.03650112565985663,0.11773677819250501,0.0004924301826811724
85,0.009351766577749937,0.08946336903635665,0.0003587003609762996
86,0.05236806471374777,0.09925884298043915,0.00045481883055831115
87,0.09628798299139367,0.10118601274729447,0.0006342548345773242
88,-0.17491662662684967,0.10629301342719494,0.0016398116862225889
89,-0.014855331506670448,0.10146579313343973,0.0004089207546484243
90,-0.15340195412986649,0.09418803875848272,0.0014135819753662339
91,0.08974641545483493,0.1068017369123616,0.0006059114755467631
92,0.25528431698170856,0.10282049906236453,0.008893722943634493
93,0.14810775954978075,0.10080585281909916,0.0011819065308934504
94,0.011457908432119822,0.09356091856070597,0.00037588023666245904
95,0.170600556543936,0.10178237240555123,0.0016519117829420689
96,-0.14002495912086893,0.09286316313005757,0.0011533164802235902
97,-0.1378822216951373,0.10844455299613844,0.0009696197914038093
98,10.24103821455867,0.10073719070801725,1.0
99,0.004408452062467591,0.09987104458456238,0.0003986012727439616
100,0.0070362723573641345,0.09814222555528339,0.00039233255187002717
101,0.11177287335516571,0.09963518130631267,0.0007450079088051857
102,-0.03817657011375174,0.10450370876222242,0.0004453870132668921
103,-0.0988228829071317,0.10021324138275102,0.000649525090141848
104,0.05754928265306969,0.10352226105394138,0.00048165529334358813
105,0.05767881542807897,0.09188351480385343,0.00044611920330478287
106,-0.1683367751281864,0.11336029088058379,0.0013600527081648237
107,-0.10944151647055654,0.09793098808915718,0.000728784528044826
108,0.005826097265687028,0.08683847960492788,0.00034706703027436337
109,-0.14915123656278922,0.0995813971800017,0.00121804692034301
110,0.15006609350108543,0.1027209120111104,0.001189728642727774
111,-0.023923728694022216,0.09198985350685135,0.00037942201091778363
112,10.048526901130478,0.10466561756175108,1.0
113,-0.04423793437650767,0.09593022359416617,0.000425390156147477
114,-0.17532852469923255,0.08983625389316859,0.0024022774549341368
115,9.888062122398603,0.11099855300632035,1.0
116,-0.064008051610995,0.1011220269593385,0.000492539590175063
117,-0.023869171691876363,0.0909817809490125,0.0003754909579805748
118,-0.06458269770498466,0.09263636485639438,0.00047092414087795183
119,-0.04729464352248624,0.09566268205674529,0.0004309905920724746
120,-0.036884385328833896,0.10620449358567101,0.0004497329785217181
121,-0.025603675428940806,0.09617662971280937,0.0003973167594656651
122,-0.06928610879972598,0.1015647340077483,0.0005109486210308512
