,mu,sigma,gamma
0,-0.029322130666069045,0.0582714269786167,0.0004037811857330688
1,-0.04103064309167569,0.07101404069809865,0.0005090441865818081
2,-0.04937059518473894,0.10977868173078799,0.0007252449225803729
3,-0.045823422040298406,0.08195704602674411,0.0005785029264051072
4,0.021205287900495348,0.06169214267842139,0.0003994624959529137
5,-0.007928308712542565,0.07814824730186319,0.0004768350525500055
6,-0.15027134959203373,0.140078309326919,0.0014564847234998552
7,0.012186214019502217,0.1202896258385486,0.0007214831103437588
8,-0.1569843960722368,0.16816843084278582,0.0014999582818903715
9,-0.13215283150182336,0.14265061786835756,0.0012799943360546832
10,-0.025366281182805404,0.04591074514979858,0.0003282293675216152
11,-0.0036541821099658396,0.12706492152396284,0.0007566277776251981
12,0.01981927442411521,0.10964996428486844,0.0006676399774875764
13,0.01833417487138238,0.10132700890129084,0.0006190979715650775
14,0.027019031589399726,0.07968801798661222,0.0005112468185692019
15,-0.040329243032617784,0.10165482375886971,0.0006594879561188792
16,0.0032750069893247853,0.048422406731928665,0.00029821638927902684
17,-0.013178045757501339,0.09296109212546537,0.0005664780392623387
18,0.1461860048128113,0.11874039771095755,0.001499174105431436
19,0.06951687708074063,0.11623269282515446,0.0008256764444529161
20,-0.17112710650144844,0.14105862855828655,0.001723174363575337
21,-0.03814009862657569,0.06383449353458423,0.0004643524386474034
22,0.07076527859368448,0.146420839437377,0.0009662497621008001
23,0.1399461004726419,0.11509602845363553,0.001428589252664228
24,-0.05674555365317444,0.10409570944580507,0.0007219596326315807
25,-0.040151792941371604,0.09046852725716882,0.0006012250372270978
26,-0.0697035618378563,0.10640786408490566,0.0007862872411070771
27,0.08286359178578867,0.11756838728513265,0.0008933452697795893
28,-0.004851019628282227,0.05173194656990201,0.0003188288342077753
29,0.01730839841670811,0.05388909359302609,0.0003475351730689752
30,-0.0007445747757793474,0.041239877437074635,0.0002541917489857971
31,-0.04964066112307322,0.08319671247100881,0.0005995471339580888
32,0.005493247008235663,0.0688459355769516,0.0004208642217881253
33,-0.033221558876830266,0.09375707843431857,0.0006009875815154086
34,-0.021528915339811362,0.06537971534071056,0.00042067116952218086
35,0.08108960571493595,0.10943884967589611,0.0008564987110373387
36,0.1664898441396927,0.12225961200456835,0.001829272911537003
37,-0.008304915249073046,0.13466255922993642,0.0008005326855626434
38,-0.14050812091762682,0.1198027951827386,0.0014086043089418685
39,0.006177772770487182,0.04710485451255941,0.00029206073763691365
40,0.13906846780296003,0.13736749199783707,0.0013428265044134172
41,0.1538641389340737,0.1368368192365241,0.001508686420848069
42,-0.01633724856411671,0.06755339589855658,0.0004238007915226566
43,0.0035262876051327685,0.11347161497416385,0.000679457361425078
44,-0.0002784925103965835,0.03629704523329399,0.0002241443468797787
45,-0.034790209351456214,0.1077986757579234,0.0006798130736989398
46,0.009099163265870961,0.08918285709128208,0.0005417576295515589
47,-0.017880861935523743,0.05763351208763768,0.0003698399040069389
48,-0.025581503351928665,0.07184777040191256,0.0004651624816372748
49,-0.17160962962888102,0.15678383729459416,0.0016556476697166867
50,0.11111622410006593,0.10988684443597836,0.0010875330166233005
51,-0.0928749412762469,0.12974526202118689,0.0009877472454648075
52,0.04395585702869038,0.07659294998054582,0.000546431910693481
53,0.0050423069989055085,0.07522274078025164,0.00045824047907837875
54,-0.017268446164363835,0.06697615128305957,0.00042192085035248835
55,-0.05546870828287053,0.07711496525535803,0.0006033982992638434
56,0.1939191401445027,0.13337007848511248,0.0022655256825855853
57,-0.023213838568054507,0.04317169816679655,0.00030657405857294304
58,-0.05300206117228054,0.12055900655793117,0.0007892740109586857
59,-0.0269870989797501,0.08781425282849913,0.0005558769327941487
60,-0.05712840466264723,0.0808725486356499,0.0006259649862908093
61,0.01160992952081261,0.09039444767628244,0.0005504595996792109
62,-0.023830227514386373,0.10354071301905368,0.000638220010952934
63,-0.05457099748792501,0.12517646644996985,0.000816577937977737
64,0.06290232208611077,0.1072828238956986,0.0007600575918853378
65,-0.00279687902960395,0.04941229644224325,0.00030398617206904425
66,0.07133008113772558,0.10104709834996381,0.0007744212476897322
67,0.0030693250536378363,0.06754758105432818,0.0004122815026366687
68,0.03901862303622135,0.12028142382289676,0.000754916840682682
69,-0.006573593444950251,0.037475427621956894,0.00023483640985894037
70,-0.08190901613100818,0.07967219651118933,0.0008142465625620854
71,0.009174535097629086,0.05243972863401477,0.0003265680546445135
72,0.0026574119885229694,0.043511555360873075,0.0002683954631917175
73,-0.012354412301432364,0.07768272668335492,0.0004775436041306264
74,0.03690613199132504,0.07803766317341182,0.0005282964310128642
75,0.03780807208759878,0.10307000051832005,0.0006609236812257115
76,0.02163691919955131,0.048550352996333146,0.00032891094438175186
77,-0.04599578256193634,0.1291012381278654,0.0008156655188632527
78,0.10078009607896034,0.08785340362102961,0.001018214991484897
79,-0.019743494095399654,0.061742301661091036,0.00039668083272689124
80,0.046622788257661446,0.09608052532675551,0.0006489804743390392
81,-0.027749342502056216,0.06922744503300242,0.0004561981458984233
82,0.07017803002512601,0.12225606960939345,0.000854272589560474
83,0.05186820792513298,0.14413964538572202,0.000905939517025893
84,-0.08195226202424967,0.1375277307360272,0.0009662098129395688
85,-0.11205184533880824,0.11629298332025496,0.001094661505305773
86,0.13940714078692207,0.1317878871448325,0.0013540896459689352
87,0.00757823428130415,0.056460260258997995,0.0003488705558680092
88,0.013046577074450097,0.06007997024860536,0.00037600175142410636
89,0.10716647471890169,0.09907323304581896,0.00106132236304545
90,-0.03635550932939593,0.13178572304698616,0.000811742331322749
91,0.4213611960517978,0.1456508298741457,0.05610615657672896
92,0.012920521222918115,0.0780494073868098,0.0004802170279946391
93,-0.07386587638206268,0.11168138238638677,0.0008265938333035417
94,0.06786692027881666,0.08722975587056926,0.0007094222904806215
95,-0.006106082714250749,0.12521818868663662,0.0007467382862393159
96,-0.017387930136369776,0.06309870755016599,0.000399983358106147
97,0.0019599455777382017,0.10320141745572661,0.0006203557675170025
98,-0.11819180432221033,0.1457753698813619,0.0011825283603657509
99,-0.013591601310555052,0.04589910082109337,0.00029475983674007736
100,-0.03099462278897508,0.06302248257861238,0.00043335418205581156
101,-0.0013811688477054392,0.10301953049764259,0.0006192541640536848
102,-0.17311828161478357,0.15417820432808194,0.001682462285968827
103,0.05501092815714054,0.10481482106015881,0.000719072433493341
104,0.03971546849056986,0.09467312415032783,0.0006216353119262705
105,0.049537051284193216,0.08164747607818489,0.0005923099795104456
106,-0.18423131417544283,0.12794310344059992,0.0021340404409590404
107,0.10124022065312817,0.147054230974272,0.001089744783985987
108,-0.022375609359680047,0.11544946918487703,0.0007029193852709685
109,-0.057508044528206854,0.10902915119135521,0.0007475671708683391
110,0.005405019450599391,0.10710086285530337,0.0006434528548066312
111,-0.024601336448296415,0.08991313640701831,0.0005632945701867008
112,-0.009706003935041958,0.1195997022026465,0.0007162907829824382
113,0.07387996265996685,0.13558876549857038,0.0009269530359845399
114,-0.00190900076536928,0.024484794793968246,0.00015237906516245016
115,0.0394197546147818,0.07500360682919845,0.0005217012713922889
116,-0.09461335830206731,0.12866706821060042,0.0009937351789981253
117,-0.016739844920801574,0.0647246617519231,0.0004082035738609954
118,-0.03371587356801103,0.10348029094482669,0.0006544076198894746
119,-0.007569286908790525,0.12052245529991805,0.0007206406472327645
120,0.07213218247902495,0.17073924755891365,0.00108583130663435
121,0.0009889638002997401,0.13287224494118022,0.0007890627499473021
122,-0.02077137145869309,0.11163418085613007,0.0006798010879674207
123,0.023840412333632058,0.0577500220182156,0.00038429734663171327
124,-0.014257937762260194,0.11999500852647567,0.0007211246629585045
125,0.07705199749076218,0.06784659343407749,0.0007837243654630192
126,-0.07577624691491457,0.09738719053873139,0.0007882118858717777
127,0.04446508045860778,0.056853962835560566,0.00047066943450800293
128,0.07282949823303812,0.08497143882798042,0.0007375958618406528
129,-0.033396217915615305,0.1376151752453639,0.0008386977843151434
130,0.015677469284044787,0.045068497234963055,0.0002943146097280254
131,-0.018209272598776367,0.14130299085433565,0.0008428271687599652
132,-0.006106513616476949,0.044697385574906184,0.0002776061331742594
