,mu,sigma,gamma
0,-0.00192368842488591,0.058107961105976595,0.0003558572438560458
1,0.024178442379703423,0.07081416086230091,0.00045639687225481777
2,0.008637151747750276,0.1093138813126659,0.0006573201715768807
3,-0.0747898672440504,0.08248900790782915,0.0007487561912445271
4,-0.023339608284941485,0.06171027177538733,0.00040447886150743586
5,-0.0077587539130405045,0.07814771943623407,0.00047673127688867734
6,-0.011338487231860261,0.1366151900565557,0.0008126828232735874
7,-0.07334427757697361,0.12127603220063372,0.0008628792331250714
8,-0.17351192778404287,0.16884273821281168,0.0016506146565671849
9,-0.10392246091528314,0.1417002578659043,0.0010861079244527765
10,0.012204481234228723,0.0458196769277526,0.0002918472872835197
11,0.07113794214941005,0.12803641454557696,0.0008833521230156566
12,0.062318317840106476,0.11031013879401667,0.0007711174647957287
13,0.09592294431435133,0.10277454272055297,0.0009464774500860362
14,-0.031097090680626122,0.0797334101901627,0.0005208637840725453
15,0.00022942631529048328,0.10133124414120437,0.0006094710619045663
16,-0.0060333411758358305,0.04842761044175385,0.00029985296013510936
17,-0.09419937570143498,0.09434074535020782,0.0009289551899200325
18,-0.013385950041355657,0.11576138384203445,0.000696635115237354
19,-0.14933139272929535,0.11841088778004008,0.0015527925670651601
20,0.02198857731787565,0.1369759995473343,0.0008220171827542267
21,-0.012417728311800302,0.06359479383534682,0.00039567312029731186
22,0.0028597966006237686,0.14543171219565548,0.0008594040586947786
23,-0.11186228340393126,0.11433065669946826,0.0010928638306987022
24,0.017617390355398378,0.10354264694324185,0.0006309105373800469
25,-0.007103982092999913,0.09016291856561068,0.0005463851116294889
26,0.014003640454754463,0.10554932597532822,0.0006391220520856295
27,0.008610396106659188,0.11633203385636057,0.0006972770354530207
28,0.016994529250696458,0.0517843388545493,0.0003350060287212051
29,-0.005662321620794113,0.05383618899686575,0.0003318818528161053
30,-0.015848536267967447,0.04128879076224365,0.00027359773911204245
31,-0.003538449640517253,0.08273747759625139,0.0005018378232608884
32,0.03481051178889012,0.06907199542817327,0.00047649805877436326
33,0.014149494131993661,0.09357741642936893,0.0005708506225835277
34,0.05199266366500644,0.06575792362780264,0.0005456907401843854
35,0.03243409799885444,0.10847298361150007,0.0006790339669387046
36,-0.09926689117192428,0.12035347898320266,0.0009996340383941703
37,-0.04373770427926732,0.13503915548060802,0.0008421187106660334
38,0.03435750907119089,0.1171625931268857,0.0007295548672117444
39,0.005285419558375717,0.047102791919462136,0.0002913884690535551
40,0.1531347018349256,0.137831989583896,0.0014961892983180057
41,-0.03552559132279986,0.13354142481371634,0.0008198682177306963
42,0.02730134525148443,0.0676458040255847,0.00044656432440117133
43,0.011197350359036002,0.11349504290473238,0.0006824412680737575
44,0.0066222098034496735,0.036305832724892385,0.00022789751211897254
45,0.01559847348997349,0.10760406056005144,0.0006520824610125366
46,-0.006096705030459613,0.08917344005716278,0.0005402066824017346
47,0.021328524605750902,0.05765944794791702,0.0003774355405037585
48,-0.025012943373352043,0.07184222672281848,0.0004638689504704629
49,-0.015082108962636875,0.15232447714998318,0.0009016060427175352
50,-0.10522690449243853,0.10973026797731021,0.0010317020295463521
51,-0.04329279108361401,0.1285554645797585,0.000807168429062694
52,-0.046751031182831075,0.07663611206281627,0.0005583492194215188
53,0.0066058937518476265,0.07522644512298418,0.0004589781634951079
54,0.0255447271729709,0.06704474794814669,0.0004388903797804047
55,0.004963652748092185,0.07656812711496257,0.0004661162864309457
56,-0.03785780154569887,0.12903133796303667,0.000799490460017445
57,0.01577041067894363,0.04311896526482155,0.0002835960887203461
58,-0.07271100286704435,0.1210028672280377,0.0008590915420807787
59,0.07285449348724614,0.08858418166933658,0.0007457497964928028
60,0.028834764167402858,0.08044920371518234,0.0005193637878865531
61,-0.05099263589703688,0.09086052077454584,0.0006394948589557309
